nm_habs,cod_an
1027,id_3548
441,id_7963
1755,id_2761
753,id_6738
1364,id_1148
4339,id_1846
109,id_2633
562,id_0114
210,id_1927
10069,id_5627
1029,id_5613
2159,id_3779
100,id_0483
1409,id_3741
367,id_7055
146,id_0829
340,id_5308
26,id_0486
22079,id_6956
77,id_3412
1766,id_0908
1785,id_5194
279,id_1888
2163,id_2500
3934,id_5519
433,id_2240
1113,id_2224
118,id_7454
81,id_0955
1942,id_2413
2629,id_5290
20,id_3085
3600,id_6239
135,id_5026
226,id_0762
6181,id_0464
15985,id_3683
752,id_6040
1013,id_4492
135,id_3567
375,id_1211
17136,id_5604
5383,id_2583
2341,id_7619
301,id_1444
368,id_6962
1872,id_3356
1060,id_4298
109,id_2385
171150,id_6739
634,id_0713
285,id_1874
68,id_6360
8439,id_5954
1126,id_5339
56,id_0299
896,id_3661
582,id_0614
586,id_3535
471,id_7856
164,id_4886
999,id_1751
569,id_6212
546,id_6904
1486,id_2944
1196,id_3281
3261,id_4813
664,id_7446
175,id_4760
357,id_0120
685,id_0051
274,id_5248
173,id_7547
1523,id_6814
1379,id_0005
10834,id_1335
2674,id_3010
152,id_3903
1595,id_3824
41194,id_4997
626,id_2381
3779,id_7273
2249,id_4865
1308,id_3828
2320,id_6343
92,id_3712
164,id_0681
430,id_3250
143,id_2184
3242,id_4005
1267,id_5456
1049,id_6729
3553,id_6370
3893,id_4765
9975,id_4162
606,id_3088
1023,id_0102
2408,id_2107
1426,id_5287
1504,id_3406
565,id_5764
1298,id_4494
160,id_6308
3507,id_1708
394,id_6669
489,id_4199
1379,id_5819
77,id_6306
484,id_7281
460,id_7686
3594,id_4829
118,id_4487
742,id_5311
809,id_0723
292,id_4340
857,id_4500
24,id_6060
873,id_1665
203,id_3698
942,id_3351
5077,id_4260
11346,id_6339
39376,id_2592
161,id_7857
51,id_6250
5208,id_1125
50760,id_5761
1005,id_0831
1662,id_0169
2174,id_2620
2740,id_0362
2329,id_6918
107,id_1666
11287,id_7641
5086,id_7732
14371,id_4855
3401,id_1775
826,id_3807
339,id_1038
1586,id_5987
104,id_0216
20629,id_0413
201,id_1387
410,id_8011
241,id_0306
265,id_7549
2953,id_3493
65,id_1408
109,id_4194
253,id_3688
2635,id_0705
1245,id_3422
256,id_4727
218,id_0401
330,id_1056
46,id_3041
2027,id_7287
272,id_6906
405,id_3985
105,id_3107
373,id_3121
3492,id_5399
205,id_0780
263,id_4600
221,id_8033
212,id_3051
7005,id_1974
484,id_2341
877,id_8019
1667,id_3004
271,id_1714
1526,id_1456
5539,id_6503
759,id_7245
4275,id_7851
191,id_4830
100,id_3178
131,id_2884
12147,id_5247
57493,id_7635
83,id_2573
116,id_0708
660,id_5968
205,id_3321
643,id_7239
393,id_1935
110,id_0911
32469,id_6740
121,id_0615
96,id_5783
7005,id_7286
26,id_0122
11459,id_3418
86,id_1913
1175,id_4136
119,id_0247
326,id_2823
535,id_0555
4831,id_7576
228,id_1441
3959,id_3690
599,id_7836
11654,id_5075
304,id_8081
184165,id_5620
703,id_6232
364,id_5641
4073,id_3200
144,id_2309
7386,id_0253
2956,id_0488
3377,id_2332
317,id_0926
211,id_0601
484,id_4360
243,id_0872
2099,id_2296
103,id_4772
736,id_3049
31086,id_3090
273,id_5803
181,id_3392
240,id_0861
60,id_5523
1578,id_0585
1848,id_5447
1270,id_3993
14973,id_7811
581,id_4634
719,id_4973
142,id_5913
535,id_6403
236,id_1618
1324,id_5584
418,id_6204
2258,id_2059
56,id_3371
58,id_6764
594,id_2704
1275,id_5237
1004,id_7865
1196,id_4262
576,id_1619
797,id_5262
797,id_1468
5200,id_4887
321,id_0943
6943,id_3239
10477,id_1524
6438,id_0769
416,id_0586
634,id_3029
1683,id_5374
40,id_7999
2259,id_1592
1187,id_7932
20577,id_6894
1637,id_5915
224,id_2794
3548,id_4365
372,id_1041
307,id_4350
38,id_2033
3171,id_4588
9003,id_4908
191,id_7370
421,id_7251
195,id_2188
945,id_5077
350,id_3172
69,id_5877
141,id_3979
107,id_4272
919,id_5940
650,id_7937
582,id_0067
793,id_3560
1739,id_4676
2733,id_7341
386,id_7344
590,id_1645
9149,id_4247
2049,id_7403
6019,id_2189
182,id_0133
321,id_6951
2758,id_2335
281,id_3405
1038,id_6745
1075,id_4113
57,id_2406
2914,id_2652
480,id_2836
1552,id_4335
226,id_6433
8251,id_1014
23,id_2473
10581,id_3017
2838,id_4390
108,id_1061
2278,id_2203
73732,id_2102
1028,id_4931
605,id_2481
1465,id_4184
45,id_6063
17,id_0767
224,id_7122
13476,id_4915
1560,id_0840
114,id_4446
92,id_3039
2795,id_5737
184,id_2036
1505581,id_3800
3153,id_1723
202,id_1022
827,id_7097
97,id_7646
291,id_4778
3876,id_0972
535,id_3757
135,id_0668
82,id_0989
1435,id_2321
109,id_5809
10587,id_5847
163,id_3308
4224,id_1848
2073,id_7343
96,id_8023
727,id_6783
11317,id_7630
595,id_1859
2670,id_6309
230,id_5409
313,id_6255
1346,id_0849
3637,id_4133
100,id_7853
965,id_1485
6927,id_7780
141,id_4790
4523,id_2347
322,id_2646
358,id_6796
1365,id_6930
1076,id_5352
3383,id_2496
98,id_7384
136,id_0083
4690,id_5156
95,id_2208
660,id_5021
3002,id_1548
113,id_8028
264,id_5215
5385,id_0691
7229,id_1936
683,id_7262
17490,id_6895
50,id_6578
307,id_0811
137,id_5049
17172,id_3319
142,id_6015
363,id_5610
10312,id_2113
10660,id_4063
22,id_4833
178,id_6349
299,id_7755
821,id_6340
748,id_7498
324,id_0139
153,id_6829
9541,id_2008
418,id_6133
4165,id_3234
52,id_7972
638,id_1340
1366,id_0942
2151,id_5591
2364,id_5434
452,id_7164
756,id_2452
2935,id_0775
531,id_3440
829,id_7845
9006,id_6924
8043,id_4380
195,id_3477
3096,id_5196
4226,id_4474
794,id_2890
2239,id_5457
174,id_6010
139,id_1787
277,id_4571
111,id_1277
89,id_2387
1073,id_7410
339,id_4376
169,id_1695
100,id_4240
279,id_0680
1137,id_0045
293,id_0395
121,id_2589
170,id_0864
931,id_2756
137,id_5329
189,id_7561
334,id_7171
45,id_7485
342,id_0847
9274,id_2696
305,id_3880
204,id_7874
277,id_2251
672,id_5317
525,id_7124
57,id_0396
1016,id_3003
1161,id_1321
389,id_3274
156,id_2244
272,id_7414
183,id_3659
273,id_0213
1308,id_0634
333,id_7501
304,id_3878
47,id_1226
10083,id_1010
499,id_3895
3957,id_1286
155,id_7283
1113,id_3726
51,id_8001
1257,id_4114
3538,id_1033
1003,id_5000
6312,id_3203
319,id_5738
139,id_7173
12484,id_4920
577,id_6181
3668,id_1720
15860,id_0480
33,id_2200
235,id_1008
343,id_0142
1092,id_0866
2677,id_7023
31637,id_1108
482,id_1352
554,id_5071
196,id_0149
184,id_6439
154,id_3190
7915,id_2320
432,id_2070
1358,id_4535
470,id_4626
82,id_0048
512,id_7288
110,id_6760
674,id_5056
31582,id_5123
99,id_0670
2423,id_2832
86,id_2846
4125,id_5713
135,id_5130
735,id_2553
253,id_5360
122,id_6087
1329,id_1116
100,id_3907
