fecha,consumo_gas,consumo_gas_lag_1,consumo_gas_lag_15,consumo_gas_rolling_window_8,consumo_gas_rolling_window_8_std,consumo_gas_rolling_window_15_std,temperatura_rolling_window_3,temperatura_lag_14,temperatura_lag_28,velocidad_viento_rolling_window_3,velocidad_viento_rolling_window_8,velocidad_viento_rolling_window_15,es_festivo,dia_semana,festivo_previo,festivo_siguiente,semana_anyo
2019-11-24,870.47,880.93,797.53,973.02125,71.70179066054324,68.14714330734913,13.159027777777778,12.164583333333333,17.102380952380955,8.181944444444442,6.956972579051383,6.842329819938516,0,6,1.0,1.0,47
2019-11-25,923.3,870.47,823.0,973.16625,71.58527421144915,59.20737717870084,13.114583333333334,10.55625,17.377083333333335,7.068055555555553,6.859055912384717,6.792885375494071,1,0,0.0,1.0,48
2019-11-26,913.04,923.3,927.81,959.08375,70.8519552986554,59.828381662727146,12.623611111111112,12.918750000000001,17.566666666666666,6.2194444444444414,6.943430912384716,6.677885375494071,1,1,1.0,1.0,48
2019-11-27,907.5,913.04,911.78,942.9875,65.21442538711237,60.0588215081879,13.725,11.079166666666666,18.25,6.129166666666664,6.990353260869565,6.67177426438296,1,2,1.0,1.0,48
2019-11-28,901.72,907.5,902.33,924.88,50.876597202023845,60.09699570178983,14.842361111111112,10.2375,18.51875,7.249999999999997,7.209895833333333,6.828718708827405,1,3,1.0,1.0,48
2019-11-29,858.19,901.72,976.27,904.77875,38.68461615145707,64.62444350317637,15.528472222222222,8.416666666666666,17.389583333333334,6.479166666666664,6.99375,6.75927426438296,1,4,1.0,1.0,48
2019-11-30,789.04,858.19,999.58,880.52375,43.14995280166134,74.45162268851082,14.709027777777777,8.727083333333333,19.11521739130435,6.276388888888886,6.697395833333333,6.680107597716293,1,5,1.0,0.0,48
2019-12-01,825.13,789.04,914.03,873.54875,47.377701939534,79.41944758235047,14.206249999999999,9.433333333333334,18.852083333333333,5.07222222222222,6.0625,6.497607597716294,0,6,1.0,1.0,48
2019-12-02,982.92,825.13,922.14,887.605,61.04388678881444,80.70449183816935,12.890972222222222,10.785416666666668,19.129166666666666,5.231944444444443,5.8875,6.475385375494072,1,0,0.0,1.0,49
2019-12-03,1025.19,982.92,1025.7,900.34125,77.86645663983128,80.66177797268223,11.490277777777777,8.669565217391305,17.091666666666665,6.040277777777777,6.311979166666667,6.594552042160738,1,1,1.0,1.0,49
2019-12-04,1031.28,1025.19,1036.27,915.12125,90.77319167455535,80.20482839639541,11.063807189542485,8.04375,14.93125,10.325408496732026,7.602236519607843,7.354658994032396,1,2,1.0,1.0,49
2019-12-05,981.12,1031.28,1046.58,924.32375,93.57859171191643,75.05256200696633,11.524918300653596,10.61086956521739,14.18125,12.207352941176469,8.166819852941178,7.653970588235294,1,3,1.0,1.0,49
2019-12-06,866.24,981.12,1019.0,919.88875,95.62135781112241,71.84600174447198,12.632557189542483,12.289583333333333,11.910416666666668,11.247630718954246,7.81109068627451,7.575081699346405,1,4,1.0,1.0,49
2019-12-07,842.76,866.24,983.08,917.96,97.1864601092728,71.61488920076678,12.265277777777778,14.487499999999999,12.320833333333333,7.3152777777777755,7.91577818627451,7.406192810457516,1,5,1.0,0.0,49
2019-12-08,874.59,842.76,880.93,928.6537500000001,84.90515413220872,71.79562300626098,11.404166666666667,12.700000000000001,12.164583333333333,6.216666666666664,8.144424019607843,7.2709150326797385,0,6,1.0,1.0,49
2019-12-09,973.0,874.59,870.47,947.1375,74.62135595314207,73.0246109068391,11.363888888888889,12.15625,10.55625,7.399999999999998,8.684007352941176,7.418692810457516,1,0,0.0,1.0,50
2019-12-10,1031.19,973.0,923.3,953.17125,79.7062586604256,79.16654901444893,10.891666666666666,13.014583333333334,12.918750000000001,7.165277777777775,8.64077818627451,7.425637254901961,1,1,1.0,1.0,50
2019-12-11,1045.88,1031.19,913.04,955.7575,82.65791479689797,85.48690568067805,10.725,16.004166666666666,11.079166666666666,6.68611111111111,8.386611519607843,7.364248366013072,1,2,1.0,1.0,50
2019-12-12,1050.55,1045.88,907.5,958.16625,85.40815416700035,90.72949667372053,10.405555555555555,15.508333333333333,10.2375,6.976388888888887,7.428125,7.5881372549019614,1,3,1.0,1.0,50
2019-12-13,927.02,1050.55,901.72,951.40375,85.47282992481857,90.22897298909406,12.663194444444443,15.072916666666666,8.416666666666666,9.744444444444442,7.7171875,7.9245261437908505,1,4,1.0,1.0,50
2019-12-14,823.8,927.02,858.19,946.09875,92.53874948018782,92.86213471490694,15.111805555555554,13.545833333333334,8.727083333333333,11.231944444444443,8.380729166666667,8.314803921568627,1,5,1.0,0.0,50
2019-12-15,832.66,823.8,789.04,944.83625,94.20391452853656,88.44269273430811,15.453472222222222,14.0,9.433333333333334,9.831944444444442,8.371875,8.299248366013071,0,6,1.0,1.0,50
